,website,ip,address,location
0,365地产家居,house365.com,123.207.176.229,天津市 腾讯云
1,中国制造网,made-in-china.com,58.217.193.7,江苏省南京市雨花台区 电信
2,江苏网络电视台,jstv.com,58.213.35.9,江苏省南京市 电信
3,卡饭网,kafan.cn,103.215.36.93,江苏省盐城市 BGP多线
4,51Yes网站流量统计,51yes.com,69.194.39.200,加拿大  
5,苏宁易购,suning.com,218.2.112.234,江苏省南京市 电信
6,江苏苏宁足球俱乐部,fc.suning.com,221.235.187.213,湖北省黄冈市 网宿科技股份有限公司电信CDN节点
7,米课,imiker.com,115.159.51.96,上海市 腾讯云
8,硕鼠官网,flvcd.com,115.28.145.122,山东省青岛市 阿里巴巴网络有限公司BGP数据中心
9,快吧游戏,kuai8.com,null,null
10,阿莫电子论坛,amobbs.com,218.16.124.207,广东省东莞市 电信IDC机房
11,简道云,jiandaoyun.com,116.62.131.92,浙江省杭州市 阿里云
12,扇贝网,shanbay.com,114.55.19.17,浙江省杭州市 阿里云BGP数据中心
13,育儿网,ci123.com,202.102.90.109,江苏省南京市 电信
14,西祠胡同,xici.net,180.96.29.96,江苏省南京市 电信
15,东方医疗器械网,www.qxw18.com,218.90.198.36,江苏省泰州市 电信
16,极速网,8080.net,61.155.5.21,江苏省南京市 电信
17,南京理工大学,www.njust.edu.cn,180.96.16.241,江苏省南京市 电信
18,建E室内设计网,justeasy.cn,121.37.0.19,广东省广州市 华为网络
19,途牛旅游网,tuniu.com,103.222.144.64,亚太地区  
20,扬子晚报网,yangtse.com,203.107.43.165,中国  
21,南京师范大学,www.njnu.edu.cn,211.65.216.200,江苏省南京市 南京师范大学
22,南京航空航天大学,nuaa.edu.cn,218.94.136.185,江苏省南京市 南京航空航天大学
23,东南大学,www.seu.edu.cn,121.194.14.142,北京市 CERNET数据中心VIP通道项目
24,吾爱源码,52codes.net,115.231.187.136,浙江省宁波市 百度云加速节点
25,南京农业大学,www.njau.edu.cn,218.94.137.110,江苏省南京市 电信
26,启程留学,qic.ac.cn,47.99.137.213,浙江省杭州市 阿里云
27,美篇,www.meipian.cn,39.96.126.46,北京市 阿里云
28,厚学网,houxue.com,180.76.198.170,北京市 北京百度网讯科技有限公司BGP节点
29,南京市网上房地产,njhouse.com.cn,202.102.88.53,江苏省苏州市 电信
30,国家公务员考试网,chinagwy.org,150.242.99.72,福建省福州市 BGP多线
31,南京邮电大学,www.njupt.edu.cn,202.119.224.201,江苏省南京市 南京邮电大学教育网
32,车城网,www.checheng.com,47.110.38.162,浙江省杭州市 阿里云
33,红薯中文网,hongshu.com,120.132.7.122,江苏省 电信
34,中国医药联盟,chinamsr.com,218.90.198.59,江苏省泰州市 电信
35,买个便宜货,mgpyh.com,116.62.97.239,浙江省杭州市 阿里云
36,南京医科大学,njmu.edu.cn,null,null
37,wordpress主题,2zzt.com,115.231.187.162,浙江省宁波市 百度云加速节点
38,中国大数据,www.thebigdata.cn,118.178.192.91,浙江省杭州市 阿里云计算有限公司
39,外勤365官网,waiqin365.com,null,null
40,美国神婆,meiguoshenpo.com,null,null
41,江苏体彩网,js-lottery.com,61.155.106.134,江苏省镇江市 电信
42,猎头网,tuilie.com,null,null
43,中国水产养殖网,shuichan.cc,null,null
44,高清时代网,hdtimes.cn,47.110.59.33,浙江省杭州市 阿里云
45,学科王,xuekewang.com,61.132.75.99,江苏省南京市 电信
46,小蜜蜂网站监测,www.webxmf.com,221.6.207.212,江苏省南京市 联通
47,金陵热线,jlonline.com,202.102.62.5,江苏省常州市 电信
48,苏宁,cnsuning.com,218.94.68.26,江苏省南京市 电信
49,尚诚志,scz-bbs.com,121.41.72.129,浙江省杭州市 阿里云
50,中国南京,nanjing.gov.cn,222.190.243.114,江苏省泰州市 电信
51,南京住房公积金管理中心,gjj.nanjing.gov.cn,221.226.86.196,江苏省南京市秦淮区 电信
52,图品汇,www.88tph.com,47.104.167.25,山东省青岛市 阿里云
53,YOHO.CN,yoho.cn,140.143.116.192,北京 腾讯云
54,新华报业网,xhby.net,61.155.0.5,江苏省 电信
55,素材火,www.sucaihuo.com,59.56.19.216,福建福州 电信 上海云盾
56,付融宝,frbao.com,180.96.38.232,江苏省南京市 电信
57,江苏省卫生健康委员会,wjw.jiangsu.gov.cn,113.107.238.154,广东省云浮市 电信
58,中国江苏网,jschina.com.cn,61.155.0.5,江苏省 电信
59,畅途网,www.changtu.com,58.213.29.117,江苏省南京市 电信
60,FineReport报表官网,finereport.com,47.104.192.2,山东省青岛市 阿里云
61,酷匠网,kujiang.com,114.55.98.250,浙江省杭州市 阿里云BGP数据中心
62,龙虎网,longhoo.net,106.119.182.219,河北省唐山市 电信
63,7881游戏交易平台,7881.com,203.107.33.212,中国 阿里云Anycast节点
64,中华户外网,huway.com,101.37.78.242,浙江省杭州市 阿里云
65,南京信息工程大学,www.nuist.edu.cn,218.94.124.50,江苏省南京市 电信
66,南京工业大学教学事务部 ,jwc.njtech.edu.cn,null,null
67,驾驶员考试网,jsyks.com,49.51.11.89,加拿大 巴里腾讯云
68,传众,czvv.com,114.80.200.145,上海市 电信IDC机房
69,装机之家,www.lotpc.com,119.147.134.75,广东东莞 百度云加速节点
70,114票务网,114piaowu.com,122.144.131.182,上海市 广电网
71,江苏省教育考试院,jseea.cn,null,null
72,南京艺术学院,www.nua.edu.cn,1.51.29.11,江苏省南京市 南京艺术学院
73,YOHO有货,yohobuy.com,140.143.50.98,北京 腾讯云
74,南京网络问政,njbbs.gov.cn,null,null
75,逐浪网,zhulang.com,123.59.138.97,北京市大兴区 天地祥云BGP数据中心
76,爱钓网,aidiao.com,121.199.39.24,浙江省杭州市 阿里云
77,东南大学附属中大医院,njzdyy.com,218.94.129.122,江苏省南京市 电信
78,百姓健康网,jiankang.com,61.160.251.6,江苏省常州市 电信IDC机房
79,南京工程学院,www.njit.edu.cn,218.2.192.10,江苏省南京市鼓楼区 电信
80,南京教育信息网,nje.cn,58.213.138.166,江苏省南京市 电信
81,江苏人力资源和社会保障网,jshrss.gov.cn,222.190.110.121,江苏省南京市 电信
82,溧水114网,ls114.cn,115.159.217.90,上海市 腾讯云
83,南京鼓楼医院,njglyy.com,222.73.219.188,上海市 电信IDC机房(张东)
84,我要个性网,woyaogexing.com,203.195.148.201,香港 深圳市腾讯计算机系统有限公司IDC机房(BGP)
85,南报网,njdaily.cn,218.94.82.88,江苏省南京市秦淮区 /白下区电信
86,中国国际航空公司,airchina.com,null,null
87,江苏银行官方网站,www.jsbchina.cn,111.48.171.70,湖北省 移动
88,赛诚智慧,www.sc-edu.com,180.96.7.9,江苏省南京市 电信
89,中国药科大学,www.cpu.edu.cn,121.32.243.81,广东省广州市 珠江宽频
90,保险网购新一站,xyz.cn,58.217.193.15,江苏省南京市雨花台区 电信
91,快递网,kuaidi.com,139.196.1.163,上海市 阿里云BGP数据中心
92,国家公务员网,gjgwy.net,120.27.139.215,浙江省杭州市 阿里巴巴网络有限公司BGP数据中心(BGP)
93,江苏省工商行政管理局,jsgsj.gov.cn,218.94.38.242,江苏省南京市 电信
