地标经度,地标纬度,对应的LR的半径,LRBG,SLG
118.733035,32.123323,4.62,1.9616,7.9461
118.856525,32.021626,3.04,0.2644,4.9127
118.961547,32.06156,10.32,14.9632,6.4055
118.863875,31.776925,8.65,1.8591,27.9618
118.916051,31.901656,6.07,6.9251,17.7689
118.765136,32.11097,2.38,1.0489,5.6173
118.8281165,32.01735141,1.44,2.3429,3.8265
118.853809,31.784499,8.4,1.4274,26.9995
118.760665,32.006267,4.81,3.1707,5.1263
118.879327,31.964622,10.24,3.0309,10.7787
118.7554589,31.99825753,8.49,14.6071,6.0453
118.6219969,32.0614767,10.04,0.4419,15.2716
118.748608,32.237199,2.57,0.7549,18.345
118.820034,32.079267,2.9,0.906,2.4458
118.73809,32.00093938,2.07,1.4392,6.5733
118.80538,32.087563,3.38,1.0248,3.5991
118.795929,32.111474,4.8,3.1394,5.9807
118.703227,32.11044633,4.05,3.8679,9.0012
118.8057283,32.12291852,4.37,1.5405,6.965
118.7739955,32.115209,2.38,1.1804,5.9612
118.7769967,32.03933,11.94,0.6302,1.6446
118.7892264,31.98865813,1.9,1.5482,6.0538
118.812513,32.139143,2.05,2.3268,8.4692
118.758211,32.083828,1.93,0.8005,3.2641
118.822367,32.08226457,2.9,0.8651,2.7532
118.7788221,32.0896815,1.88,1.5794,3.4342
118.878264,32.094257,4.24,2.4491,2.6626
118.8799,31.808618,8.54,4.5728,25.3303
118.8018,32.049444,1.05,1.2661,0.4186
118.764731,32.026012,1.44,1.5045,3.119
118.723598,32.130569,8.49,1.2215,9.0673
118.8240765,31.96771371,10.25,2.5581,8.5078
118.802961,32.04263319,1.28,1.1052,0.7955
118.785093,31.972142,1.93,3.1054,7.749
118.82672,31.958091,10.24,2.2791,9.5048
118.662688,31.906989,4.71,2.676,18.6036
118.79641,31.991972,8.49,16.4541,5.6643
118.867381,31.954661,5.05,1.1987,11.0664
118.788539,32.005413,1.9,1.1739,4.4148
118.8140583,32.05256,1.29,0.4744,0.6635
118.784851,32.049777,1.71,0.4649,1.1789
118.7516626,32.01353072,1.62,0.8574,4.7916
118.809477,31.9848,1.89,1.8889,6.4878
118.747384,32.103821,2.38,2.5118,5.5371
118.812837,32.047433,1.05,0.1741,1.0494
118.862843,32.03844022,4.28,1.9016,4.5584
118.8016528,32.04769901,1.18,1.2753,0.4054
118.912012,31.903524,5.44,6.5019,17.5501
118.884725,32.05091,2,0.9394,3.1528
118.772023,32.056182,1.06,0.7814,0.2642
118.817265,32.029907,1.68,1.0692,2.5087
118.7923283,31.77846,8.87,5.4578,27.0193
118.793448,31.966975,4.86,4.9476,8.1736
118.779816,31.946315,4.2,4.275,10.3837
118.7894,32.089373,3.38,2.6326,3.6874
118.8135778,32.05247675,1.29,0.431,0.7116
118.729964,32.033324,6.34,1.0879,4.9886
118.800966,32.119378,4.75,2.1832,6.7401
118.746583,32.086275,1.98,1.9338,4.1544
118.808382,32.12888,4.33,0.9238,7.5023
118.804,32.032158,1.68,0.6675,1.7608
118.7785985,32.05228223,1.73,0.8784,0.5196
118.753521,32.041317,7.34,2.4293,2.5462
118.7714815,32.0899971,1.88,1.093,3.4538
118.7669476,32.10080715,1.86,2.6531,4.585
118.8176766,32.13963811,4.8,0.6061,8.4869
118.732243,32.226217,2.99,2.1339,17.5796
118.784977,32.019232,1.06,4.6864,3.2006
118.7595818,32.0725726,1.54,0.3106,2.2663
